1-WT-0h-A431	1-WT-0h-A431-HSA	1-WT-24h-A431	1-WT-24h-A431-HSA	1-WT-3h-A431	1-WT-3h-A431-HSA	2-WT-0h-A431	2-WT-0h-A431-HSA	2-WT-24h-A431	2-WT-24h-A431-HSA	2-WT-3h-A431	2-WT-3h-A431-HSA	3-WT-0h-A431	3-WT-0h-A431-HSA	3-WT-24h-A431	3-WT-24h-A431-HSA	3-WT-3h-A431	3-WT-3h-A431-HSA
C1_02410C_A	980	1647	644	631	317	439	1333	1422	688	706	424	687	1086	942	559	664	415	539
C1_02420C_A	6898	20502	2677	5893	1555	1803	11925	13728	2137	10144	1248	2318	9293	10709	4018	5465	2165	2258
C1_02430C_A	3319	7793	1064	1824	786	1057	5137	5732	875	3027	651	1114	4328	4413	1280	2171	875	1147
C1_02440C_A	216	266	219	196	87	120	277	330	250	232	96	155	328	327	214	199	113	130
C1_02450C_A	446	1999	496	1057	357	883	946	1307	583	1454	480	862	1001	968	408	1789	306	791
C1_02460W_A	34744	74831	8197	13912	11003	19668	49205	66364	8466	17729	13505	24526	48944	48924	8499	16358	12014	21647
C1_02470W_A	198	181	317	196	66	47	268	245	317	196	45	63	216	159	260	240	88	53
C1_02480W_A	9017	9601	1845	1420	2493	2732	10539	9449	1813	1499	3061	4079	7223	5094	1336	1671	2829	3257
C1_02490C_A	400	730	513	793	52	342	479	1053	511	727	58	237	578	718	388	651	48	255
C1_02500W_A	346	357	241	434	101	115	364	447	294	346	120	131	330	280	199	338	77	132
C1_02510W_A	490	426	269	263	123	166	514	422	247	191	116	211	332	256	176	281	97	151
C1_02520W_A	2	8	4	12	1	1	2	2	4	25	0	0	1	4	13	10	1	1
C1_02530C_A	2592	8365	19068	41741	1233	1945	5115	8505	14991	46450	1618	2242	3422	3364	17342	42458	1513	1765
C1_02560W_A	8	10	52	32	3	7	13	38	44	38	8	6	17	26	35	39	7	14
C1_02570C_A	81	177	365	183	74	58	153	190	294	253	84	85	163	153	288	231	78	58
C1_02580W_A	27	21	214	80	9	7	17	59	146	116	16	12	27	25	221	109	14	10
C1_02590C_A	29189	22616	7473	4531	4127	7692	16793	66834	6100	4275	4432	10917	22896	25924	5059	5162	4400	9458
